Artistas por hacer:,Período,periodo /  Academia,Nacimiento,Fallecimiento,Contenido
Abraham Pether,Romanticismo,Paisajismo británico,1756,1812,
Adelaide Alexandrine,Neoclasicismo,,1838,1919,FAMILIA KOEKKOEK
Albert Fitch Bellows,Neoclasicismo,Río Hudson,1829,1883,
Alexander Cabanel,Romanticismo,,1823,1889,
Alfred Sisley,Realismo e Impresionismo,-,1839,1899,
Amand Gautier,,,,,
Angélica Kauffman,Neoclasicismo ,Royal Academy ,,,
Anthony van Dyck,,,,,
Antoine-Jean Gros,Neoclasicismo,-,1771,1835,
Armand Guillaumin,,,1841,1927,
Artesmiszia,,,,,
Asher Brown Durand,Romanticismo,Escuela del Río Hudson,1796,1886,
Authier,,,,,
Baltasar Paul Ommeganck,Neoclasicismo,Antwerp Academy,1755,1826,
Balthasar Paul Ommeganck,,,,,
Barend Cornelis,Neoclasicismo,,1803,1862,FAMILIA KOEKKOEK
Barend Hendrik,,,1849,1909,FAMILIA KOEKKOEK
Baron Gros,Neoclasicismo,-,1771,1835,
Beliard,,,,,
Berthe Morisot,Impresionismo,,,,
Blanche Hoschedé Monet,Impresionismo,,,,
Blemont,,,,,
Bracquemond,,,,,
Brandon,,,,,
Burtys,,,,,
Camille Pissarro,Impresionismo,,1830,1903,
Canaletto,Rococó,Vedutismo,1697,1768,
Carle Vernet,Neoclasicismo,-,1758,1836,
Caspar David Friedrich,Romanticismo,-,1774,1840,
Charpentier,,,,,
Claude Monet,Impresionismo,Impresionismo,1840,1926,
Cornelis 'Kees',,,1903,1992,FAMILIA KOEKKOEK
Daiwaille,,,,,
Daniele da Volterra,Renacimiento italiano,Manierismo,1509,1566,
Dante Gabriel Rossetti,Realismo,Prerrafaelismo,1828,1882,
De Noter,,,,,
Diego de Velázquez,Barroco ,Español,1599,1660,
Dollfus,,,,,
Domenico Becafumi,,,,,
E. Phillips Fox,Impresionismo,Escuela de Hildeberg,1865,1915,
Edgar Degas,Impresionismo,,1834,1917,
Edouard Seago,Romanticismo,,,,
Edwin Church,Romanticismo,Escuela del Río Hudson,1826,1900,
Elioth Gruner,Impresionismo,,,,
Émile Friant,,,,,
Eugéne Boudin,Realismo,,,,
Eugène Verboeckhoven,Neoclasicismo,Antwerp Academy,1798,1881,
Fernando Yáñez de la Almedina,Renacimiento,español,1505,1537,
Feyen Perrin,,,,,
Fitz Henry Lane,Paisajismo,Luminismo americano,1804,1865,
Francesco Hayez,Romanticismo,Italiano,1791,1882,
François Louis Thomas Francia,Neoclasicismo,-,1772,1839,
